Removed Pin From Net: NetName=GND Pin=C13-1
Removed Pin From Net: NetName=+5V_D Pin=C13-2
Removed Pin From Net: NetName=+5V_D Pin=C14-1
Removed Pin From Net: NetName=GND Pin=C14-2
Removed Pin From Net: NetName=SVBP1_PCB Pin=DD3-1
Removed Pin From Net: NetName=SVBP1 Pin=DD3-2
Removed Pin From Net: NetName=SVBP2_PCB Pin=DD3-3
Removed Pin From Net: NetName=SVBP2 Pin=DD3-4
Removed Pin From Net: NetName=GND Pin=DD3-7
Removed Pin From Net: NetName=+5V_D Pin=DD3-14
Removed Pin From Net: NetName=RS485_PC_EN Pin=DD8-92
Removed Pin From Net: NetName=UIM_OUT1_CP Pin=DD8-138
Removed Pin From Net: NetName=RS485_PC_DI Pin=DD16-4
Removed Pin From Net: NetName=RS485_PC_DI Pin=DD16-4
Removed Pin From Net: NetName=SVBP1_PCB Pin=R18-1
Removed Pin From Net: NetName=+5V_D Pin=R18-2
Removed Pin From Net: NetName=SVBP2_PCB Pin=R19-1
Removed Pin From Net: NetName=+5V_D Pin=R19-2
Removed Pin From Net: NetName=UIM_IN1_PCB Pin=R32-1
Removed Pin From Net: NetName=UIM_IN2_PCB Pin=R33-1
Removed Pin From Net: NetName=RS485_PC_RO Pin=R61-2
Removed Pin From Net: NetName=RS485_PC_RO Pin=R63-1
Removed Pin From Net: NetName=RS485_PC_DI Pin=R67-2
Change Component Footprint: Designator=R32 Old Footprint=Res0402 New Footprint=Res0805
Change Component Footprint: Designator=R33 Old Footprint=Res0402 New Footprint=Res0805
Change Component Comment : Designator=R32 Old Comment=Resistor0062 New Comment=Resistor0125
Change Component Comment : Designator=R33 Old Comment=Resistor0062 New Comment=Resistor0125
Change Component Designator: OldDesignator=C16 NewDesignator=C13
Change Component Designator: OldDesignator=C17 NewDesignator=C14
Change Component Designator: OldDesignator=C18 NewDesignator=C20
Change Component Designator: OldDesignator=C19 NewDesignator=C21
Change Component Designator: OldDesignator=C20 NewDesignator=C22
Change Component Designator: OldDesignator=C21 NewDesignator=C23
Change Component Designator: OldDesignator=C22 NewDesignator=C24
Change Component Designator: OldDesignator=C23 NewDesignator=C25
Change Component Designator: OldDesignator=C24 NewDesignator=C26
Change Component Designator: OldDesignator=C25 NewDesignator=C27
Change Component Designator: OldDesignator=C26 NewDesignator=C28
Change Component Designator: OldDesignator=C27 NewDesignator=C29
Change Component Designator: OldDesignator=C28 NewDesignator=C30
Change Component Designator: OldDesignator=C29 NewDesignator=C31
Change Component Designator: OldDesignator=C30 NewDesignator=C32
Change Component Designator: OldDesignator=C31 NewDesignator=C33
Change Component Designator: OldDesignator=C32 NewDesignator=C34
Change Component Designator: OldDesignator=C33 NewDesignator=C35
Change Component Designator: OldDesignator=C34 NewDesignator=C36
Change Component Designator: OldDesignator=C35 NewDesignator=C37
Change Component Designator: OldDesignator=C36 NewDesignator=C38
Change Component Designator: OldDesignator=C37 NewDesignator=C39
Change Component Designator: OldDesignator=C38 NewDesignator=C40
Change Component Designator: OldDesignator=C39 NewDesignator=C41
Change Component Designator: OldDesignator=C40 NewDesignator=C42
Change Component Designator: OldDesignator=C41 NewDesignator=C43
Change Component Designator: OldDesignator=DD4 NewDesignator=DD3
Change Component Designator: OldDesignator=DD5 NewDesignator=DD6
Change Component Designator: OldDesignator=DD6 NewDesignator=DD7
Change Component Designator: OldDesignator=DD7 NewDesignator=DD8
Change Component Designator: OldDesignator=DD8 NewDesignator=DD9
Change Component Designator: OldDesignator=DD9 NewDesignator=DD10
